id;casecont;numcow;prod;bscc;dbarn;dout;dcprep;dcpct;dneo;dclox;doth;var_13
55;1;16;;;2;1;3;50;1;1;0;14.6
56;1;17;25.8;69.40000153;2;1;3;100;1;0;1;18.2
57;1;17;23;77.19999695;2;1;3;75;1;0;1;16.2
58;1;20;27;145.6000061;2;1;3;100;1;0;1;17
59;1;24;;341;2;1;3;1;1;0;0;20.4
60;1;26;20.5;211.6000061;2;1;3;100;1;0;0;24.6
61;1;29;22.7;119.5999985;2;1;3;100;1;0;0;18.4
62;1;30;24.7;74;3;1;3;75;1;0;1;23
63;1;30;;58.40000153;2;1;3;100;1;0;0;27
64;1;30;;362.3999939;2;1;2;50;1;0;1;20
65;1;30;26.3;98.40000153;2;1;3;100;1;0;0;22
66;1;30;20.6;468;2;1;3;100;1;0;1;28
67;1;32;32.2;75.19999695;2;1;3;100;1;0;1;28.2
68;1;35;20.4;76.59999847;1;1;2;100;1;0;0;29
69;1;35;27.2;105.8000031;2;1;3;100;1;1;0;27
70;1;37;34;206;2;1;3;100;1;1;1;27.2
71;1;40;24.3;124.8000031;2;1;3;100;1;1;0;33
72;1;40;24.1;209;2;1;3;100;1;0;1;25
73;1;40;20.5;171.1999969;2;1;3;100;1;0;0;34
74;1;40;25;293.3999939;2;1;3;100;1;0;0;29
75;1;40;27.7;173;3;1;3;100;0;1;0;25
76;1;40;22.4;326.3999939;2;1;3;100;1;0;1;33
77;1;40;26;157.1999969;2;1;3;10;0;0;1;29
78;1;41;23.2;238;2;1;3;100;1;0;1;34.6
79;1;41;19.7;191.8000031;2;1;3;50;1;0;1;31.6
80;1;42;;139.8000031;2;1;3;100;1;0;0;33.2
81;1;45;21.5;133.1999969;1;1;3;100;1;0;0;31
82;1;45;30;91.19999695;1;1;3;100;1;0;0;29
83;1;47;30;27.60000038;2;1;3;100;1;0;1;37.2
84;1;50;24.7;225.8000031;1;1;3;83;0;1;0;38
85;1;50;21.3;93.19999695;1;3;3;95;1;0;1;40
86;1;50;;259.3999939;3;1;3;20;1;0;0;34
87;1;50;22.7;93;1;3;3;50;1;0;1;32
88;1;50;20.6;235.3999939;2;1;3;99;1;0;0;37
89;1;50;26;85.19999695;2;1;3;25;1;0;0;39
90;1;50;27.2;177;1;1;3;100;0;0;1;39
91;1;50;19.6;109.8000031;1;1;3;100;1;0;1;33
92;1;51;27;103.4000015;1;1;3;100;1;1;1;37.6
93;1;51;24.9;196.8000031;1;1;3;100;1;0;1;39.6
94;1;57;25;119;1;1;2;100;1;0;0;41.2
95;1;57;20.4;200.6000061;2;1;3;100;1;0;0;38.2
96;1;60;23.7;309.2000122;2;1;3;100;1;0;0;40
97;1;65;25;269.3999939;1;1;3;100;1;0;1;40
98;1;72;23;160.6000061;1;1;3;100;1;0;0;53.2
99;1;75;22.7;121;2;1;3;100;1;0;1;46
100;1;85;21;157.1999969;1;3;3;100;1;0;0;61
101;1;85;23.1;270.3999939;1;1;3;100;1;0;1;53
102;1;90;27.3;271;1;1;3;100;1;0;0;55
103;1;97;21.6;200.6000061;1;1;3;100;1;0;1;61.2
104;1;100;24.9;192.3999939;1;1;3;100;1;0;0;69
105;1;135;22;265.2000122;1;1;3;40;1;0;1;90
106;1;140;25;250.6000061;1;1;1;100;1;0;0;93
107;1;175;22.6;260;1;1;3;100;1;0;0;106
108;1;190;22.7;136;1;1;3;100;0;1;1;124
